time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.21895	0.210886	1.50444	6.38106e-16	-2.49505e-16	radar	-9.25596e+61	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.18032	0.422513	5.84698	-0.116282	1.48572	lidar	-9.25596e+61	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.54964	0.623185	3.31782	-0.871795	19.9582	radar	-9.25596e+61	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.67007	0.609799	3.19328	3.01962	21.2223	lidar	-9.25596e+61	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.89056	0.577626	3.6508	-0.396889	74.5378	radar	-9.25596e+61	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.01204	0.625079	3.43802	-2.79558	69.4267	lidar	-9.25596e+61	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.00606	0.537929	2.51357	1.29389	58.4089	radar	-9.25596e+61	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.24935	0.593742	2.11108	-1.34209	55.3721	lidar	-9.25596e+61	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.24876	0.529185	3.47673	3.04508	22.7581	radar	-9.25596e+61	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.94725	0.579541	3.27376	1.4338	26.5626	lidar	-9.25596e+61	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	2.99593	0.405007	2.81681	-2.90654	18.0437	radar	-9.25596e+61	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.59542	0.359761	2.33728	0.032295	20.7482	lidar	-9.25596e+61	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.79976	0.473872	2.04623	2.69103	12.9358	radar	-9.25596e+61	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.18431	0.612589	2.09102	-0.812262	18.306	lidar	-9.25596e+61	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.45295	0.562156	2.7954	-0.0583816	21.9233	radar	-9.25596e+61	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.35134	0.747836	3.0223	-1.853	21.9707	lidar	-9.25596e+61	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.57752	0.650278	2.75216	0.586352	22.7122	radar	-9.25596e+61	5.20902	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.0673	0.758986	4.13073	0.358666	21.9969	lidar	-9.25596e+61	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.3685	0.561637	3.66828	0.467329	14.9774	radar	-9.25596e+61	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.91501	0.712845	4.27568	1.84924	17.6073	lidar	-9.25596e+61	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.8374	0.408148	4.02813	0.344469	19.0666	radar	-9.25596e+61	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.23369	0.869099	4.46899	1.61687	18.7782	lidar	-9.25596e+61	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.44006	0.716134	4.42278	-0.523197	16.4677	radar	-9.25596e+61	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.75826	0.759246	4.49576	0.676438	16.672	lidar	-9.25596e+61	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.02125	0.575008	4.34833	1.36359	16.8139	radar	-9.25596e+61	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.09	0.921423	4.56477	-2.43493	17.2395	lidar	-9.25596e+61	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.56394	0.851178	4.86713	-0.169346	18.8182	radar	-9.25596e+61	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8045	0.7809	5.09146	1.04159	19.0048	lidar	-9.25596e+61	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.01624	0.81625	5.17975	-2.79367	18.6726	radar	-9.25596e+61	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.22571	0.834424	5.14158	0.239167	18.8246	lidar	-9.25596e+61	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.31816	0.989939	6.05161	0.228835	21.8541	radar	-9.25596e+61	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
